# 観光地混雑度シミュレーションデータ（1時間分）
# 時間帯別混雑状況:
# 09:00-09:10: 閑散時（距離220-410cm、モーション散発的）
# 09:10-09:25: 通常時への移行（距離110-240cm、モーション増加）
# 09:25-09:40: 混雑時（距離10-50cm以下、連続モーション検出、温湿度上昇）
# 09:40-10:00: 通常時へ復帰（距離50-250cm、モーション減少）
#
時刻,モーション,距離(cm),温度(°C),湿度(%)
09:00,False,350,18.2,52
09:01,False,380,18.3,52
09:02,True,320,18.2,53
09:03,False,410,18.4,52
09:04,False,290,18.3,53
09:05,True,250,18.5,54
09:06,False,330,18.4,53
09:07,True,280,18.6,54
09:08,False,360,18.5,54
09:09,False,340,18.7,55
09:10,True,220,18.8,55
09:11,True,180,18.9,56
09:12,False,240,19.0,56
09:13,True,160,19.1,57
09:14,True,140,19.2,57
09:15,False,190,19.3,58
09:16,True,120,19.5,58
09:17,True,110,19.6,59
09:18,True,95,19.8,59
09:19,False,130,19.9,60
09:20,True,85,20.1,60
09:21,True,75,20.3,61
09:22,True,65,20.5,62
09:23,True,55,20.7,62
09:24,True,48,20.9,63
09:25,True,42,21.1,64
09:26,True,38,21.3,64
09:27,True,35,21.5,65
09:28,True,32,21.7,65
09:29,True,28,21.9,66
09:30,True,25,22.1,67
09:31,True,22,22.3,67
09:32,True,19,22.5,68
09:33,True,16,22.7,68
09:34,True,15,22.9,69
09:35,True,13,23.1,70
09:36,True,11,23.3,70
09:37,True,10,23.5,71
09:38,True,12,23.7,71
09:39,True,14,23.8,72
09:40,True,16,23.9,72
09:41,True,18,24.0,73
09:42,True,22,24.1,73
09:43,True,26,24.2,72
09:44,False,32,24.3,72
09:45,True,38,24.2,71
09:46,False,45,24.1,71
09:47,True,52,24.0,70
09:48,False,68,23.9,70
09:49,True,75,23.8,69
09:50,False,85,23.7,69
09:51,True,92,23.6,68
09:52,False,105,23.5,68
09:53,True,118,23.4,67
09:54,False,135,23.3,67
09:55,True,148,23.2,66
09:56,False,165,23.1,66
09:57,False,180,23.0,65
09:58,True,195,22.9,65
09:59,False,220,22.8,64
10:00,False,250,22.7,64
